cell,vertex,x,y
20,1,0.20000000000000001,-2.2000000000000002
20,2,-0.59999999999999998,-2
21,0,0.20000000000000001,-2.6000000000000001
21,1,0.40000000000000002,-2.7999999999999998
21,2,1,-2.7999999999999998
22,0,-2,-1.8
22,1,-0.20000000000000001,-1.8
22,2,-0.20000000000000001,-1.3999999999999999
22,3,-0.40000000000000002,-1.3999999999999999
23,0,-1.6000000000000001,-1.2
23,1,-0.40000000000000002,-1.3999999999999999
23,2,-1.3999999999999999,-1
24,0,-3.6000000000000001,-1.2
24,1,-3,-1.2
24,2,-3.6000000000000001,-1
25,0,-2.3999999999999999,-0.20000000000000001
25,1,-2.2000000000000002,-0.20000000000000001
25,2,-0.59999999999999998,1
25,3,-0.80000000000000004,1.2
25,4,-1.8,1.3999999999999999
26,0,-1.8,2.7999999999999998
26,1,-1.3999999999999999,2.3999999999999999
26,2,-1.2,2.6000000000000001
27,0,-3.7999999999999998,-1.2
27,1,-3.6000000000000001,-1.2
27,2,-3.6000000000000001,-1
28,0,-2.7999999999999998,1.2
28,1,-2.6000000000000001,1.2
28,2,-2,1.8
29,0,-2.7999999999999998,0.59999999999999998
29,1,-2.6000000000000001,1.2
29,2,-2.7999999999999998,1.2
30,0,-2.3999999999999999,-0.20000000000000001
30,1,-1.8,0.80000000000000004
30,2,-1.8,1.3999999999999999
30,3,-2.3999999999999999,0
31,0,-2,3
31,1,-1.8,2.7999999999999998
31,2,-1.6000000000000001,2.7999999999999998
32,0,-3.2000000000000002,-0.80000000000000004
32,1,-2.7999999999999998,-1
32,2,-2.7999999999999998,-0.40000000000000002
33,0,-2.7999999999999998,0
33,1,-2,0.80000000000000004
33,2,-1.8,1.3999999999999999
33,3,-2.3999999999999999,1
33,4,-2.7999999999999998,0.59999999999999998
34,0,0.20000000000000001,1.8
34,1,0.80000000000000004,1.2
34,2,1.2,1.2
35,0,2,0.40000000000000002
35,1,2.3999999999999999,-0.20000000000000001
35,2,2.7999999999999998,-0.20000000000000001
36,0,-2,1.8
36,1,-1.3999999999999999,2
36,2,-1.6000000000000001,2.3999999999999999
37,0,-0.40000000000000002,2.2000000000000002
37,1,0.20000000000000001,1.8
37,2,1.2,1.3999999999999999
38,0,-2.7999999999999998,-1
38,1,-2.2000000000000002,-0.20000000000000001
38,2,-2.3999999999999999,-0.20000000000000001
39,0,-1.3999999999999999,2
39,1,0.20000000000000001,1.3999999999999999
39,2,0.80000000000000004,1.2
39,3,0.20000000000000001,1.8
40,0,2.3999999999999999,-2
40,1,3.3999999999999999,-1.3999999999999999
40,2,3.2000000000000002,-1.3999999999999999
41,0,3,0
41,1,3.2000000000000002,-0.59999999999999998
41,2,3.7999999999999998,-0.80000000000000004
42,0,-1.3999999999999999,2
42,1,-1,2.3999999999999999
42,2,-1.3999999999999999,2.3999999999999999
43,0,-0.20000000000000001,-1.3999999999999999
43,1,0.59999999999999998,-1.6000000000000001
43,2,2.3999999999999999,-0.59999999999999998
43,3,0.40000000000000002,-1.2
44,0,-0.80000000000000004,-1.8
44,1,-0.59999999999999998,-2
44,2,-0.20000000000000001,-1.8
45,0,2.3999999999999999,-1.6000000000000001
45,1,3.2000000000000002,-1.3999999999999999
45,2,3,-1.2
46,0,1.3999999999999999,-2.3999999999999999
