x,y,sigma,sigma_vee,psi
3,9.5,0.0020776837320488225,0.0020717109562069895,-0.38693609237501031
3,10,0.0020967080499204329,0.0020747292771748868,-0.3816721406069975
3,10.5,0.0020963725198360804,0.0020793765034013843,-0.37356737806798568
3,11,0.0021220863019628892,0.0020840237296278815,-0.36546261552897463
3,11.5,0.002149728013521676,0.0020891458177369061,-0.35652969386683575
3,12,0.0021306274390477204,0.0020947427677284578,-0.34676861308156964
3,12.5,0.0021300489273781515,0.0021016673170373046,-0.33469219908694076
3,13,0.0021616825300479329,0.0021103086744613045,-0.31962167173948497
3,13.5,0.0021300060055811846,0.0021206668400004596,-0.30155703103919845
3,14,0.0021349413332874415,0.0021347836828180481,-0.27693725716532414
3,14.5,0.0021686906204800302,0.0021504977187894519,-0.24953197843119584
3,15,0.0021723105325309818,0.0021663864952744588,-0.22182195224134388
3,15.5,0.002184243328771368,0.0021826522812110273,-0.19345442156796835
3,16,0.0022137083263727504,0.0022040439270830815,-0.15614739116710594
3,16.5,0.0022271806353889091,0.0022271806353889091,-0.11579697188174259
3,17,0.0022748937426944104,0.0022552698868996694,-0.066809317246976502
3,17.5,0.0022833591384104298,0.0022833591384104298,-0.017821662612210402
3,18,0.0023167669615473756,0.0023167669615473756,0.040441580938623094
3.5,-1,0.0021318431224653799,0.0021296319766558498,-0.2859218327121979
3.5,-0.5,0.0021222755056412553,0.0021222755056412553,-0.2987515181616508
3.5,0,0.0021785588975156483,0.0021165607260878292,-0.30871809370282594
3.5,0.5,0.0021497376585584843,0.0021108459465344035,-0.31868466924400035
3.5,1,0.0021168386933875351,0.0021051311669809773,-0.32865124478517554
3.5,1.5,0.0021299790090137066,0.0020999168479680632,-0.3377450171436977
3.5,2,0.0020952617443165504,0.0020952029894956608,-0.34596598631956765
3.5,2.5,0.0021030201833632783,0.0020904891310232578,-0.35418695549543833
3.5,3,0.0021329898010319518,0.002086725391803981,-0.36075091669385717
3.5,3.5,0.0021068447372886105,0.0020829616525847045,-0.36731487789227535
3.5,4,0.0021131109028900085,0.0020791979133654281,-0.37387883909069342
3.5,4.5,0.0020754341741461512,0.0020754341741461512,-0.38044280028911232
3.5,5,0.0020938215355090174,0.0020783979000306616,-0.37527406234652616
3.5,5.5,0.0021478675134893105,0.002081361625915172,-0.37010532440394001
3.5,6,0.0021248474767051112,0.002084325351799682,-0.36493658646135463
3.5,6.5,0.0021171056920548659,0.0020872890776841924,-0.35976784851876847
3.5,7,0.0021331603916601716,0.0020902528035687028,-0.35459911057618232
3.5,7.5,0.0021387033335046324,0.0020932165294532132,-0.34943037263359616
3.5,8,0.0021136866434536168,0.0020961802553377232,-0.34426163469101073
3.5,8.5,0.002115944854275212,0.002099143981222234,-0.33909289674842386
3.5,9,0.0021485167772874519,0.002102107707106744,-0.33392415880583842
3.5,9.5,0.0021050714329912544,0.0021050714329912544,-0.32875542086325227
3.5,10,0.0021499080434250243,0.0021106683829828061,-0.31899434007798622
3.5,10.5,0.0021308567997473616,0.0021162653329743573,-0.30923325929272094
3.5,11,0.002139523842347499,0.0021218622829659089,-0.29947217850745483
3.5,11.5,0.00214769433021284,0.0021287868322747558,-0.28739576451282595
3.5,12,0.0021406108719942678,0.0021357113815836022,-0.27531935051819784
3.5,12.5,0.002142635930892449,0.002142635930892449,-0.26324293652356895
3.5,13,0.0021884266671195144,0.0021585247073774554,-0.23553291033371773
3.5,13.5,0.0022004883345523624,0.0021744134838624619,-0.20782288414386652
3.5,14,0.0021903022603474687,0.0021903022603474687,-0.18011285795401455
3.5,14.5,0.002217598671836078,0.0022111122187415981,-0.14382029051465295
3.5,15,0.0022338072201533539,0.0022330855520915766,-0.10549879715229049
3.5,15.5,0.0022584130373472428,0.0022566881006361728,-0.064335952490514714
3.5,16,0.0022808943776148191,0.0022808943776148191,-0.022120205439755528
3.5,16.5,0.0023103085256096392,0.0023103085256096392,0.029178068663210786
4,-1,0.0021620220886510509,0.0021532059982402141,-0.24480873906906667
4,-0.5,0.0021660886517703777,0.0021466703729562035,-0.2562068695643811
4,0,0.002180085900810984,0.0021409555934027774,-0.26617344510555624
4,0.5,0.0022071087234784795,0.0021359915046601195,-0.27483081587275154
4,1,0.0021958218746287572,0.002131277646187717,-0.2830517850486215
4,1.5,0.002170474668026408,0.0021265637877153141,-0.29127275422449217
4,2,0.0021502696187058403,0.0021218499292429112,-0.29949372340036284
4,2.5,0.0021288974815626958,0.0021180861900236348,-0.30605768459878097
4,3,0.0021326496688844109,0.0021143224508043583,-0.31262164579719909
4,3.5,0.00216566154914038,0.0021120710659085153,-0.31654806105554933
4,4,0.0021497765120459178,0.0021110542813947263,-0.31832133324759726
4,4.5,0.002160792190309898,0.0021127940538449748,-0.31528717009436397
4,5,0.0021568996003877411,0.0021157577797294852,-0.31011843215177781
4,5.5,0.0021915536083533978,0.0021187215056139956,-0.30494969420919166
4,6,0.0021826814516696536,0.0021216852314985056,-0.29978095626660628
4,6.5,0.002179733753340813,0.002124648957383016,-0.29461221832402013
4,7,0.0021717796030793646,0.0021276126832675264,-0.28944348038143397
4,7.5,0.0021492488637103535,0.0021305764091520368,-0.28427474243884782
4,8,0.0021720017814546391,0.0021342574869623017,-0.2778549427377458
4,8.5,0.0021801651826278668,0.0021379385647725662,-0.27143514303664451
4,9,0.0021603907458755752,0.0021416196425828311,-0.26501534333554255
