x,y,ell_A,ell_A_exact
-1.8,1,0.0013974678989688255,1653660704/1183326432915
-1.8,1.2,0.0013956110334929254,1651463426/1183326432915
-1.8,1.3999999999999999,0.0013937541680170251,1649266148/1183326432915
-1.8,1.6000000000000001,0.001391897302541125,329413774/236665286583
-1.8,1.8,0.0013900404370652247,1644871592/1183326432915
-1.8,2,0.0013881835715893246,1642674314/1183326432915
-1.8,2.2000000000000002,0.0013863267061134242,149134276/107575130265
-1.8,2.3999999999999999,0.0013844698406375242,1638279758/1183326432915
-1.8,2.6000000000000001,0.0013826129751616238,327216496/236665286583
-1.8,2.7999999999999998,0.0013807561096857237,1633885202/1183326432915
-1.6000000000000001,-2.2000000000000002,0.0014267480587254603,1688308691/1183326432915
-1.6000000000000001,-2,0.0014248911932495602,1686111413/1183326432915
-1.6000000000000001,-1.8,0.0014230343277736599,336782827/236665286583
-1.6000000000000001,-1.6000000000000001,0.0014211774622977598,1681716857/1183326432915
-1.6000000000000001,-1.3999999999999999,0.0014193205968218595,1679519579/1183326432915
-1.6000000000000001,-1.2,0.0014174637313459594,1677322301/1183326432915
-1.6000000000000001,-1,0.0014156068658700591,152284093/107575130265
-1.6000000000000001,-0.80000000000000004,0.001413750000394159,334585549/236665286583
-1.6000000000000001,-0.59999999999999998,0.0014118931349182586,1670730467/1183326432915
-1.6000000000000001,-0.40000000000000002,0.0014100362694423585,1668533189/1183326432915
-1.6000000000000001,-0.20000000000000001,0.0014081794039664582,1666335911/1183326432915
-1.6000000000000001,0,0.0014063225384905581,1664138633/1183326432915
-1.6000000000000001,0.20000000000000001,0.0014044656730146578,8107031/5772324063
-1.6000000000000001,0.40000000000000002,0.0014026088075387577,1659744077/1183326432915
-1.6000000000000001,0.59999999999999998,0.0014007519420628574,1657546799/1183326432915
-1.6000000000000001,0.80000000000000004,0.0013988950765869573,1655349521/1183326432915
-1.6000000000000001,1,0.001397038211111057,1653152243/1183326432915
-1.6000000000000001,1.2,0.0013951813456351569,30017363/21515026053
-1.6000000000000001,1.3999999999999999,0.0013933244801592566,1648757687/1183326432915
-1.6000000000000001,1.6000000000000001,0.0013914676146833565,1646560409/1183326432915
-1.6000000000000001,1.8,0.0013896107492074562,1644363131/1183326432915
-1.6000000000000001,2,0.0013877538837315561,1642165853/1183326432915
-1.6000000000000001,2.2000000000000002,0.0013858970182556558,327993715/236665286583
-1.6000000000000001,2.3999999999999999,0.0013840401527797557,1637771297/1183326432915
-1.6000000000000001,2.6000000000000001,0.0013821832873038553,1635574019/1183326432915
-1.6000000000000001,2.7999999999999998,0.0013803264218279552,1633376741/1183326432915
-1.3999999999999999,-2.3999999999999999,0.0014281752363435921,1689997508/1183326432915
-1.3999999999999999,-2.2000000000000002,0.0014263183708676918,337560046/236665286583
-1.3999999999999999,-2,0.0014244615053917917,153236632/107575130265
-1.3999999999999999,-1.8,0.0014226046399158914,1683405674/1183326432915
-1.3999999999999999,-1.6000000000000001,0.0014207477744399913,1681208396/1183326432915
-1.3999999999999999,-1.3999999999999999,0.001418890908964091,1679011118/1183326432915
-1.3999999999999999,-1.2,0.0014170340434881909,335362768/236665286583
-1.3999999999999999,-1,0.0014151771780122906,1674616562/1183326432915
-1.3999999999999999,-0.80000000000000004,0.0014133203125363905,1672419284/1183326432915
-1.3999999999999999,-0.59999999999999998,0.0014114634470604901,1670222006/1183326432915
-1.3999999999999999,-0.40000000000000002,0.00140960658158459,1668024728/1183326432915
-1.3999999999999999,-0.20000000000000001,0.0014077497161086899,333165490/236665286583
-1.3999999999999999,0,0.0014058928506327896,1663630172/1183326432915
-1.3999999999999999,0.20000000000000001,0.0014040359851568895,151039354/107575130265
-1.3999999999999999,0.40000000000000002,0.0014021791196809892,1659235616/1183326432915
-1.3999999999999999,0.59999999999999998,0.0014003222542050891,1657038338/1183326432915
-1.3999999999999999,0.80000000000000004,0.0013984653887291888,330968212/236665286583
-1.3999999999999999,1,0.0013966085232532887,1652643782/1183326432915
-1.3999999999999999,1.2,0.0013947516577773884,1650446504/1183326432915
-1.3999999999999999,1.3999999999999999,0.0013928947923014883,1648249226/1183326432915
-1.3999999999999999,1.6000000000000001,0.001391037926825588,1646051948/1183326432915
-1.3999999999999999,1.8,0.0013891810613496879,328770934/236665286583
-1.3999999999999999,2,0.0013873241958737876,1641657392/1183326432915
-1.3999999999999999,2.2000000000000002,0.0013854673303978875,1639460114/1183326432915
-1.3999999999999999,2.3999999999999999,0.0013836104649219872,148842076/107575130265
-1.3999999999999999,2.6000000000000001,0.0013817535994460871,1635065558/1183326432915
-1.2,-2.3999999999999999,0.0014277455484858236,1689489047/1183326432915
-1.2,-2.2000000000000002,0.0014258886830099235,1687291769/1183326432915
-1.2,-2,0.0014240318175340232,1685094491/1183326432915
-1.2,-1.8,0.0014221749520581231,1682897213/1183326432915
-1.2,-1.6000000000000001,0.0014203180865822228,336139987/236665286583
-1.2,-1.3999999999999999,0.0014184612211063227,1678502657/1183326432915
-1.2,-1.2,0.0014166043556304224,1676305379/1183326432915
-1.2,-1,0.0014147474901545223,1674108101/1183326432915
-1.2,-0.80000000000000004,0.001412890624678622,151991893/107575130265
-1.2,-0.59999999999999998,0.0014110337592027219,333942709/236665286583
-1.2,-0.40000000000000002,0.0014091768937268215,1667516267/1183326432915
-1.2,-0.20000000000000001,0.0014073200282509214,1665318989/1183326432915
-1.2,0,0.0014054631627750211,1663121711/1183326432915
-1.2,0.20000000000000001,0.001403606297299121,1660924433/1183326432915
-1.2,0.40000000000000002,0.0014017494318232207,331745431/236665286583
-1.2,0.59999999999999998,0.0013998925663473206,1656529877/1183326432915
-1.2,0.80000000000000004,0.0013980357008714203,1654332599/1183326432915
-1.2,1,0.0013961788353955202,1652135321/1183326432915
-1.2,1.2,0.0013943219699196201,1649938043/1183326432915
-1.2,1.3999999999999999,0.0013924651044437198,29958923/21515026053
-1.2,1.6000000000000001,0.0013906082389678197,40135207/28861620315
-1.2,1.8,0.0013887513734919194,1643346209/1183326432915
-1.2,2,0.0013868945080160193,1641148931/1183326432915
-1.2,2.2000000000000002,0.001385037642540119,1638951653/1183326432915
-1.2,2.3999999999999999,0.0013831807770642189,327350875/236665286583
-1.2,2.6000000000000001,0.0013813239115883186,1634557097/1183326432915
-1,-2.3999999999999999,0.0014273158606280551,1688980586/1183326432915
-1,-2.2000000000000002,0.001425458995152155,1686783308/1183326432915
-1,-2,0.0014236021296762549,336917206/236665286583
-1,-1.8,0.0014217452642003546,3730352/2623783665
-1,-1.6000000000000001,0.0014198883987244545,1680191474/1183326432915
-1,-1.3999999999999999,0.0014180315332485542,1677994196/1183326432915
-1,-1.2,0.0014161746677726541,1675796918/1183326432915
-1,-1,0.0014143178022967538,334719928/236665286583
-1,-0.80000000000000004,0.0014124609368208537,1671402362/1183326432915
-1,-0.59999999999999998,0.0014106040713449534,1669205084/1183326432915
-1,-0.40000000000000002,0.0014087472058690533,1667007806/1183326432915
-1,-0.20000000000000001,0.001406890340393153,1664810528/1183326432915
-1,0,0.0014050334749172529,332522650/236665286583
