x,y,sigma,sigma_vee,psi
-4.25,5.25,0.00040873612910686814,0.00040850439919831109,0.5231859387732869
-4.25,5.375,0.00041048517591171048,0.00041048517591171048,0.6033043952768653
-4.125,-0.125,0.00040293267761966513,0.00040293267761966513,0.29782094436021511
-4.125,0,0.00040170515584718469,0.00040170515584718469,0.2481701437069263
-4.125,0.125,0.00040091136413778616,0.00040070234654455516,0.20760851303416727
-4.125,0.25,0.0003997651371265085,0.00039969953724192564,0.16704688236140824
-4.125,0.375,0.00039869672793929611,0.00039869672793929611,0.12648525168864921
-4.125,0.5,0.00039801510349984432,0.00039778467462069978,0.089594519058064814
-4.125,0.625,0.00039687262130210351,0.00039687262130210351,0.052703786427482607
-4.125,0.75,0.00039637678804726117,0.00039630510720130497,0.029748976078383421
-4.125,0.875,0.00039587798738851854,0.00039573759310050643,0.006794165729284235
-4.125,1,0.0003951700789997079,0.0003951700789997079,-0.016160644619814951
-4.125,1.125,0.00039494227625700096,0.00039491878199509543,-0.026325105862380044
-4.125,1.25,0.00039570634488842517,0.0003946674849904828,-0.036489567104951715
-4.125,1.375,0.00039442489286773492,0.00039441618798587033,-0.046654028347516807
-4.125,1.5,0.00039466599867794225,0.00039416489098125776,-0.056818489590086285
-4.125,1.625,0.00039455161882793674,0.00039391359397664529,-0.066982950832651378
-4.125,1.75,0.00039439872177117707,0.0003937566706909844,-0.073330183891062939
-4.125,1.875,0.00039389010129884207,0.00039369412112427509,-0.075860188765320968
-4.125,2,0.00039484670338210323,0.00039363157155756579,-0.078390193639578998
-4.125,2.125,0.00039470196835358657,0.00039361706042448168,-0.078977139950564823
-4.125,2.25,0.00039393448432212242,0.00039360254929139758,-0.079564086261550648
-4.125,2.375,0.00039530365230023223,0.00039358803815831353,-0.080151032572534281
-4.125,2.5,0.00039364992610963628,0.00039359168911794938,-0.080003358557183352
-4.125,2.625,0.00039373777220102384,0.00039361350217030508,-0.079121064215500053
-4.125,2.75,0.000394595835976821,0.00039382918534372366,-0.070397111217065461
-4.125,2.875,0.00039462280257643046,0.00039406320281696737,-0.06093157245930364
-4.125,3,0.00039447416345815534,0.00039432749411368029,-0.050241518089859605
-4.125,3.125,0.00039463399875750625,0.00039463399875750625,-0.037844018256387141
-4.125,3.25,0.00039637406146216203,0.00039496235319032551,-0.024562738157713593
-4.125,3.375,0.00039828745707940199,0.0003954529729165394,-0.0047181514718143414
-4.125,3.5,0.00039710993660505717,0.00039594359264275334,0.015126435214087103
-4.125,3.625,0.00039660498429504955,0.00039643421236896728,0.034971021899988547
-4.125,3.75,0.00039787027968947946,0.00039693217631195528,0.055112667465967324
-4.125,3.875,0.00039888195410068341,0.00039749593303430107,0.077915499371409569
-4.125,4,0.00039858940443382522,0.00039807427646632552,0.10130833450993482
-4.125,4.125,0.0003999276787843555,0.00039865261989834987,0.12470116964845568
-4.125,4.25,0.00040266364707540979,0.00039923096333037433,0.14809400478698093
-4.125,4.375,0.00040070613857306873,0.00039980930676239873,0.17148683992550398
-4.125,4.5,0.00040038765019442314,0.00040038765019442314,0.19487967506402704
-4.125,4.625,0.00040206371112896396,0.00040157707892112129,0.24298968820151381
-4.125,4.75,0.00040398489764874242,0.00040276650764781944,0.29109970133900059
-4.125,4.875,0.00040487854238771542,0.00040400096309972162,0.34103095545754003
-4.125,5,0.00040544059706080165,0.0004054062744259064,0.39787298797906201
-4.125,5.125,0.00040681158575209112,0.00040681158575209112,0.45471502050058177
-4.125,5.25,0.00040876640537595402,0.00040876640537595402,0.53378356464658816
-4.125,5.375,0.00041176234526403479,0.00041176234526403479,0.65496334123967914
-4,-1,0.00040590803015637291,0.00040590803015637291,0.4181680037649716
-4,-0.875,0.00040428427104904533,0.00040428427104904533,0.3524901953917855
-4,-0.75,0.00040335972917592092,0.0004032493223908549,0.31062859206529891
