cell,vertex,x,y
206,2,-3.375,4.375
207,0,-2.5,1.625
207,1,-1.5,1.125
207,2,-1.75,1.5
208,0,-3.625,4.75
208,1,-3.25,4.25
208,2,-3.125,4.25
209,0,-2.25,-1
209,1,-1.5,-1.875
209,2,-1.25,-1.25
210,0,-3.875,5.125
210,1,-3.375,4.75
210,2,-3.5,4.875
211,0,-3,4.5
211,1,-1.375,3.25
211,2,-2.125,3.875
212,0,-3.5,-0.5
212,1,-3,-0.625
212,2,-3.375,0.125
213,0,1,-3
213,1,1.125,-2.875
213,2,1,-2.875
214,0,-3.25,-1.125
214,1,-3.125,-1.5
214,2,-2.875,-1.375
215,0,-2.5,-2.125
215,1,-2,-2.25
215,2,-2.125,-2.125
216,0,-3.5,-0.5
216,1,-3.375,0.125
216,2,-3.5,0.125
217,0,-3.625,0.875
217,1,-3.25,0.625
217,2,-3.375,1.375
218,0,-3.75,0.625
218,1,-3.375,0.375
218,2,-3.25,0.625
219,0,-1.75,1.5
219,1,-1.25,1.5
219,2,-1.75,2.125
220,0,-3.125,1.875
220,1,-2.875,1.125
220,2,-2.625,1
221,0,-2.75,2.125
221,1,-2.625,2.5
221,2,-2.75,2.25
222,0,-3.75,0.625
222,1,-3.25,0.625
222,2,-3.625,0.875
223,0,-3.75,3.875
223,1,-3.25,4
223,2,-3.625,4.125
224,0,-3.375,0.125
224,1,-3.25,0.625
224,2,-3.375,0.375
225,0,-3.5,4.875
225,1,-2.25,4
225,2,-3.25,4.75
226,0,-3.5,4.875
226,1,-3,4.5
226,2,-2.25,4
227,0,-2.75,-0.125
227,1,-2.625,-0.5
227,2,-2.5,0.125
228,0,-3.25,4
228,1,-3,4
228,2,-3.25,4.25
229,0,-2.25,0.375
229,1,-1.5,0.625
229,2,-1.5,1.125
230,0,-3.375,-1.625
230,1,-3.25,-1.75
230,2,-3.125,-1.5
231,0,-3.375,4.125
231,1,-3.25,4
231,2,-3.25,4.25
232,0,-2.75,2.125
232,1,-1.75,2.125
232,2,-2.625,2.5
233,0,-3.375,0.125
233,1,-2.75,-0.125
233,2,-3.25,0.625
234,0,-3.375,-1.625
234,1,-3.125,-1.5
234,2,-3.25,-1.125
235,0,-3.25,4
235,1,-2.75,3.5
235,2,-3,4
236,0,-3.25,4.25
236,1,-1.875,3.375
236,2,-3.125,4.25
237,0,-3.625,4.125
237,1,-3.25,4
237,2,-3.375,4.125
238,0,-3.75,3.875
238,1,-3.125,3.25
238,2,-2.75,3.375
239,0,-3.375,4.125
239,1,-3.25,4.25
239,2,-3.375,4.375
240,0,-3,-1.875
240,1,-2.75,-1.75
240,2,-3,-1.75
241,0,-3.125,1.875
241,1,-2.625,1
241,2,-2.5,1.625
242,0,-2.75,3.375
242,1,-1.75,2.125
242,2,-1.75,2.75
243,0,-2.125,3.75
243,1,-1.625,3.375
243,2,-1.375,3.25
244,0,-2.5,-2
244,1,-2,-2.125
244,2,-1.875,-1.875
245,0,-3.375,0.125
245,1,-2.625,-0.5
245,2,-2.75,-0.125
246,0,-3.25,-1.75
246,1,-3,-2
246,2,-3,-1.875
247,0,-3.375,1.375
247,1,-3.25,0.625
247,2,-2.875,1.125
248,0,-3.25,-1.75
248,1,-3,-1.875
248,2,-3,-1.75
249,0,-3.75,2.5
249,1,-3.125,1.875
249,2,-3.375,2.875
250,0,-3.25,-1.75
250,1,-3,-1.75
250,2,-3.125,-1.5
251,0,-2.375,-1.25
251,1,-1.75,-1.625
251,2,-2.25,-1
252,0,-3.375,4.75
252,1,-3,4.375
252,2,-3,4.5
253,0,-3.125,-1.5
253,1,-3,-1.75
253,2,-2.75,-1.75
254,0,-3.625,4.75
254,1,-2.75,4.125
254,2,-3,4.375
255,0,-3.375,1.375
255,1,-3.125,1.875
255,2,-3.375,2
256,0,-2.75,-1.375
256,1,-2.125,-1.75
256,2,-2.375,-1.25
257,0,-0.75,-2.5
257,1,-0.5,-2.625
257,2,-0.375,-2.625
258,0,-3.625,4.75
258,1,-3.125,4.25
258,2,-2.75,4.125
259,0,-3.25,-1.125
259,1,-2.875,-1.375
259,2,-3,-0.625
260,0,-0.25,-2.5
260,1,-0.125,-2.625
260,2,0.125,-2.75
261,0,0.25,-2.125
261,1,0.75,-2.25
261,2,0.75,-1.875
262,0,-3.25,0.625
262,1,-2.75,-0.125
262,2,-2.5,0.125
263,0,-2.25,0.375
263,1,-1.375,-0.75
263,2,-1.375,-0.125
264,0,-3,4.375
264,1,-2.75,4.125
264,2,-2.125,3.75
265,0,-2.375,-1.25
265,1,-2.125,-1.75
265,2,-1.875,-1.875
265,3,-1.5,-1.875
266,0,-3.375,0.125
266,1,-3,-0.625
266,2,-2.625,-0.5
267,0,-3,-0.625
267,1,-2.875,-1.375
267,2,-2.75,-1.375
268,0,-3,-2
268,1,-2.5,-2
268,2,-3,-1.875
269,0,-3.25,0.625
269,1,-2.5,0.125
269,2,-2.25,0.375
270,0,-3.25,0.625
270,1,-2.625,1
270,2,-2.875,1.125
271,0,-3.375,2.875
271,1,-2.75,2.125
271,2,-2.75,2.25
272,0,-3,-1.875
272,1,-2.5,-2
272,2,-2.75,-1.75
273,0,-3,-0.625
273,1,-2.75,-1.375
273,2,-2.25,-1
274,0,-2.75,-1.375
274,1,-2.375,-1.25
274,2,-2.25,-1
275,0,-3.375,1.375
275,1,-2.875,1.125
275,2,-3.125,1.875
