x,y,ell_A,ell_A_exact
2,-0.5,0.0020181784043212109,13529700107/6703916798451
2,0,0.0020209353606233738,40644547538/20111750395353
2,0.5,0.0020236923169255367,40699994755/20111750395353
2,1,0.0020264492732277001,13585147324/6703916798451
2,1.5,0.002029206229529863,40810889189/20111750395353
2,2,0.0020319631858320263,40866336406/20111750395353
2,2.5,0.0020347201421341892,4546864847/2234638932817
2,3,0.0020374770984363526,40977230840/20111750395353
2,3.5,0.0020402340547385155,41032678057/20111750395353
2,4,0.0020429910110406789,13696041758/6703916798451
2,4.5,0.0020457479673428418,41143572491/20111750395353
2,5,0.0020485049236450051,41199019708/20111750395353
2,5.5,0.0020512618799471681,13751488975/6703916798451
2,6,0.0020540188362493314,378990038/184511471517
2,6.5,0.0020567757925514943,41365361359/20111750395353
2,7,0.0020595327488536572,4602312064/2234638932817
2,7.5,0.0020622897051558206,41476255793/20111750395353
2,8,0.0020650466614579835,41531703010/20111750395353
2,8.5,0.0020678036177601469,13862383409/6703916798451
2,9,0.0020705605740623098,41642597444/20111750395353
2,9.5,0.0020733175303644731,41698044661/20111750395353
2,10,0.002076074486666636,13917830626/6703916798451
2,10.5,0.0020788314429687994,41808939095/20111750395353
2,11,0.0020815883992709623,41864386312/20111750395353
2,11.5,0.0020843453555731257,4657759281/2234638932817
2,12,0.0020871023118752886,41975280746/20111750395353
2,12.5,0.0020898592681774515,42030727963/20111750395353
2,13,0.0020926162244796149,14028725060/6703916798451
2,13.5,0.0020953731807817778,42141622397/20111750395353
2,14,0.0020981301370839411,42197069614/20111750395353
2,14.5,0.002100887093386104,14084172277/6703916798451
2,15,0.0021036440496882674,42307964048/20111750395353
2,15.5,0.0021064010059904303,42363411265/20111750395353
2,16,0.0021091579622925937,4713206498/2234638932817
2,16.5,0.0021119149185947566,42474305699/20111750395353
2,17,0.0021146718748969199,42529752916/20111750395353
2,17.5,0.0021174288311990828,14195066711/6703916798451
2,18,0.0021201857875012462,42640647350/20111750395353
2,18.5,0.0021229427438034091,42696094567/20111750395353
2,19,0.002125699700105572,14250513928/6703916798451
2,19.5,0.0021284566564077354,42806989001/20111750395353
2,20,0.0021312136127098983,42862436218/20111750395353
2.5,-1,0.0020467958773251011,4573849755/2234638932817
2.5,-0.5,0.0020495528336272645,41220095012/20111750395353
2.5,0,0.0020523097899294274,41275542229/20111750395353
2.5,0.5,0.0020550667462315908,13776996482/6703916798451
2.5,1,0.0020578237025337537,41386436663/20111750395353
2.5,1.5,0.002060580658835917,41441883880/20111750395353
2.5,2,0.00206333761513808,13832443699/6703916798451
2.5,2.5,0.0020660945714402429,41552778314/20111750395353
2.5,3,0.0020688515277424062,41608225531/20111750395353
2.5,3.5,0.0020716084840445691,4629296972/2234638932817
2.5,4,0.0020743654403467325,41719119965/20111750395353
2.5,4.5,0.0020771223966488954,41774567182/20111750395353
2.5,5,0.0020798793529510588,13943338133/6703916798451
