x,y,sigma,sigma_exact,ell_A,ell_A_exact
-8,-4,0.0014135753422464914,,0.001413750000394159,334585549/236665286583
-8,-3,0.0014117035586864782,,0.0014118931349182586,1670730467/1183326432915
-8,-2,0.0014098582579348336,,0.0014100362694423585,1668533189/1183326432915
-8,-1,0.0014080345899600308,,0.0014081794039664582,1666335911/1183326432915
-8,0,0.0014062207941893563,,0.0014063225384905581,1664138633/1183326432915
-8,1,0.0014043945701423769,,0.0014044656730146578,8107031/5772324063
-8,2,0.0014025294127264583,,0.0014026088075387577,1659744077/1183326432915
-8,3,0.0014007112452163414,,0.0014007519420628574,1657546799/1183326432915
-8,4,0.0013988616059482152,,0.0013988950765869573,1655349521/1183326432915
-8,5,0.0013970443027537093,,0.001397038211111057,1653152243/1183326432915
-8,6,0.0013952201777444237,,0.0013951813456351569,30017363/21515026053
-8,7,0.0013934233602396135,,0.0013933244801592566,1648757687/1183326432915
-8,8,0.0013916422628506475,,0.0013914676146833565,1646560409/1183326432915
-8,9,0.0013898025592458819,,0.0013896107492074562,1644363131/1183326432915
-8,10,0.0013879890357521778,,0.0013877538837315561,1642165853/1183326432915
-8,11,0.0013861826770057576,,0.0013858970182556558,327993715/236665286583
-8,12,0.0013843678120973467,,0.0013840401527797557,1637771297/1183326432915
-8,13,0.0013826066121400142,,0.0013821832873038553,1635574019/1183326432915
-8,14,0.0013808117506134338,,0.0013803264218279552,1633376741/1183326432915
-7,-12,0.0014282276401823542,,0.0014281752363435921,1689997508/1183326432915
-7,-11,0.0014262964449024927,,0.0014263183708676918,337560046/236665286583
-7,-10,0.0014243691887133761,,0.0014244615053917917,153236632/107575130265
-7,-9,0.0014224372108684431,,0.0014226046399158914,1683405674/1183326432915
-7,-8,0.0014205643801293644,,0.0014207477744399913,1681208396/1183326432915
-7,-7,0.0014186884072678741,,0.001418890908964091,1679011118/1183326432915
-7,-6,0.0014168307200901316,,0.0014170340434881909,335362768/236665286583
-7,-5,0.0014149468289257751,,0.0014151771780122906,1674616562/1183326432915
-7,-4,0.001413114577144464,,0.0014133203125363905,1672419284/1183326432915
-7,-3,0.0014112834483538238,,0.0014114634470604901,1670222006/1183326432915
-7,-2,0.0014094407524907039,,0.00140960658158459,1668024728/1183326432915
-7,-1,0.0014075917286170238,,0.0014077497161086899,333165490/236665286583
-7,0,0.0014057399807754724,,0.0014058928506327896,1663630172/1183326432915
-7,1,0.0014039206955952556,,0.0014040359851568895,151039354/107575130265
-7,2,0.0014021001851703973,,0.0014021791196809892,1659235616/1183326432915
-7,3,0.0014002621525637307,,0.0014003222542050891,1657038338/1183326432915
-7,4,0.0013984334889369022,,0.0013984653887291888,330968212/236665286583
-7,5,0.0013966141807060155,,0.0013966085232532887,1652643782/1183326432915
-7,6,0.0013948047675229065,,0.0013947516577773884,1650446504/1183326432915
-7,7,0.0013930050458967956,,0.0013928947923014883,1648249226/1183326432915
-7,8,0.0013912196711569017,,0.001391037926825588,1646051948/1183326432915
-7,9,0.0013893633916659961,,0.0013891810613496879,328770934/236665286583
-7,10,0.0013875231461998338,,0.0013873241958737876,1641657392/1183326432915
-7,11,0.0013857410451381786,,0.0013854673303978875,1639460114/1183326432915
-7,12,0.0013839246241776982,,0.0013836104649219872,148842076/107575130265
-7,13,0.0013821654697826825,,0.0013817535994460871,1635065558/1183326432915
-6,-12,0.0014278422250155883,,0.0014277455484858236,1689489047/1183326432915
-6,-11,0.0014258075896310934,,0.0014258886830099235,1687291769/1183326432915
-6,-10,0.0014239346023376647,,0.0014240318175340232,1685094491/1183326432915
-6,-9,0.0014220208099641753,,0.0014221749520581231,1682897213/1183326432915
-6,-8,0.0014201388233216331,,0.0014203180865822228,336139987/236665286583
-6,-7,0.0014182573253040331,,0.0014184612211063227,1678502657/1183326432915
-6,-6,0.0014163971554563162,,0.0014166043556304224,1676305379/1183326432915
-6,-5,0.0014145307882233859,,0.0014147474901545223,1674108101/1183326432915
-6,-4,0.0014127044316925078,,0.001412890624678622,151991893/107575130265
-6,-3,0.0014108568033195745,,0.0014110337592027219,333942709/236665286583
-6,-2,0.0014089907294435038,,0.0014091768937268215,1667516267/1183326432915
-6,-1,0.0014071497775305414,,0.0014073200282509214,1665318989/1183326432915
-6,0,0.001405307217849367,,0.0014054631627750211,1663121711/1183326432915
-6,1,0.0014035004863806291,,0.001403606297299121,1660924433/1183326432915
-6,2,0.0014016607130755481,,0.0014017494318232207,331745431/236665286583
-6,3,0.0013998297929990692,,0.0013998925663473206,1656529877/1183326432915
-6,4,0.0013980247061276849,,0.0013980357008714203,1654332599/1183326432915
-6,5,0.0013961820276819736,,0.0013961788353955202,1652135321/1183326432915
-6,6,0.0013943666737514366,,0.0013943219699196201,1649938043/1183326432915
-6,7,0.0013925535778923205,,0.0013924651044437198,29958923/21515026053
-6,8,0.001390718863662925,,0.0013906082389678197,40135207/28861620315
-6,9,0.0013889208203857397,,0.0013887513734919194,1643346209/1183326432915
-6,10,0.0013871149954239944,,0.0013868945080160193,1641148931/1183326432915
-6,11,0.0013852941615561142,,0.001385037642540119,1638951653/1183326432915
-6,12,0.0013835172278896593,,0.0013831807770642189,327350875/236665286583
-6,13,0.0013817123783019527,,0.0013813239115883186,1634557097/1183326432915
-5,-12,0.0014273298755828152,,0.0014273158606280551,1688980586/1183326432915
-5,-11,0.0014253964431756847,,0.001425458995152155,1686783308/1183326432915
-5,-10,0.0014234748055961793,,0.0014236021296762549,336917206/236665286583
-5,-9,0.0014216133308378399,,0.0014217452642003546,3730352/2623783665
-5,-8,0.0014197053234423225,,0.0014198883987244545,1680191474/1183326432915
-5,-7,0.001417838831265811,,0.0014180315332485542,1677994196/1183326432915
-5,-6,0.0014159769717861791,,0.0014161746677726541,1675796918/1183326432915
-5,-5,0.0014141162462144483,,0.0014143178022967538,334719928/236665286583
-5,-4,0.0014122329564418682,,0.0014124609368208537,1671402362/1183326432915
-5,-3,0.0014103876362167264,,0.0014106040713449534,1669205084/1183326432915
-5,-2,0.001408555604997624,,0.0014087472058690533,1667007806/1183326432915
-5,-1,0.0014067134073485613,,0.001406890340393153,1664810528/1183326432915
-5,0,0.0014048750235152907,,0.0014050334749172529,332522650/236665286583
-5,1,0.0014030352099223447,,0.0014031766094413525,1660415972/1183326432915
-5,2,0.0014012116059578022,,0.0014013197439654524,150747154/107575130265
-5,3,0.0013993721442326721,,0.0013994628784895521,1656021416/1183326432915
-5,4,0.0013975545157488879,,0.001397606013013652,1653824138/1183326432915
-5,5,0.0013957458857774573,,0.0013957491475377517,330325372/236665286583
-5,6,0.0013939276128349537,,0.0013938922820618516,1649429582/1183326432915
-5,7,0.0013921050463205694,,0.0013920354165859513,1647232304/1183326432915
-5,8,0.0013903002974661376,,0.0013901785511100512,1645035026/1183326432915
-5,9,0.0013884789920005686,,0.0013883216856341509,1642837748/1183326432915
-5,10,0.0013866815359101,,0.0013864648201582508,328128094/236665286583
-5,11,0.0013848828466352903,,0.0013846079546823505,1638443192/1183326432915
-5,12,0.0013830561984592257,,0.0013827510892064504,1636245914/1183326432915
-4,-12,0.0014269088502502079,,0.0014268861727702868,337694425/236665286583
-4,-11,0.0014249994951289881,,0.0014250293072943865,1686274847/1183326432915
-4,-10,0.0014230643221826559,,0.0014231724418184864,1684077569/1183326432915
-4,-9,0.0014211292351235586,,0.0014213155763425861,1681880291/1183326432915
-4,-8,0.0014192577232937924,,0.001419458710866686,1679683013/1183326432915
-4,-7,0.001417379238859493,,0.0014176018453907857,335497147/236665286583
-4,-6,0.0014155152088466427,,0.0014157449799148856,1675288457/1183326432915
-4,-5,0.0014136697431549605,,0.0014138881144389853,1673091179/1183326432915
-4,-4,0.0014118135827888901,,0.0014120312489630852,1670893901/1183326432915
-4,-3,0.0014099690532787101,,0.0014101743834871849,151699693/107575130265
-4,-2,0.001408139376403577,,0.0014083175180112848,333299869/236665286583
-4,-1,0.0014062943082077863,,0.0014064606525353847,1664302067/1183326432915
-4,0,0.0014044506310163377,,0.0014046037870594844,1662104789/1183326432915
-4,1,0.0014026109720972975,,0.0014027469215835843,1659907511/1183326432915
-4,2,0.0014007851206401447,,0.0014008900561076839,1657710233/1183326432915
-4,3,0.001398947691639999,,0.0013990331906317838,331102591/236665286583
-4,4,0.0013971411961529268,,0.0013971763251558835,1653315677/1183326432915
-4,5,0.0013952896862924093,,0.0013953194596799834,1651118399/1183326432915
-4,6,0.0013934568951904105,,0.0013934625942040831,1648921121/1183326432915
-4,7,0.0013916771267741173,,0.001391605728728183,1646723843/1183326432915
-4,8,0.0013898606744191533,,0.0013897488632522827,29900483/21515026053
-4,9,0.0013880880200269645,,0.0013878919977763826,1642329287/1183326432915
-4,10,0.0013862414689862275,,0.0013860351323004823,1640132009/1183326432915
-4,11,0.0013844710019958581,,0.0013841782668245822,1637934731/1183326432915
-4,12,0.0013826589800541912,,0.0013823214013486819,1635737453/1183326432915
-3,-13,0.0014284376303165473,,0.0014283133503884186,1690160942/1183326432915
-3,-12,0.001426487552411928,,0.0014264564849125183,1687963664/1183326432915
-3,-11,0.0014245387474885577,,0.0014245996194366182,1685766386/1183326432915
-3,-10,0.0014225963242312149,,0.0014227427539607179,1683569108/1183326432915
-3,-9,0.0014206971530615062,,0.0014208858884848178,336274366/236665286583
-3,-8,0.0014188442007401615,,0.0014190290230089175,152652232/107575130265
-3,-7,0.001416956655525958,,0.0014171721575330174,1676977274/1183326432915
-3,-6,0.0014151069475029285,,0.0014153152920571171,1674779996/1183326432915
-3,-5,0.0014132308228038243,,0.001413458426581217,1672582718/1183326432915
-3,-4,0.001411414983361955,,0.0014116015611053167,334077088/236665286583
-3,-3,0.0014095335705051968,,0.0014097446956294166,1668188162/1183326432915
-3,-2,0.0014076800665927312,,0.0014078878301535163,40633924/28861620315
-3,-1,0.0014058386720863095,,0.0014060309646776162,1663793606/1183326432915
-3,0,0.0014040162178687505,,0.0014041740992017159,1661596328/1183326432915
-3,1,0.001402170023053943,,0.0014023172337258158,331879810/236665286583
-3,2,0.0014003498733521612,,0.0014004603682499154,1657201772/1183326432915
-3,3,0.0013985132164350714,,0.0013986035027740153,150454954/107575130265
-3,4,0.0013966820193897585,,0.001396746637298115,1652807216/1183326432915
-3,5,0.0013948353220071257,,0.0013948897718222149,1650609938/1183326432915
-3,6,0.0013930707096395302,,0.0013930329063463148,329682532/236665286583
-3,7,0.0013912390254575114,,0.0013911760408704145,1646215382/1183326432915
-3,8,0.0013894523196346768,,0.0013893191753945144,1644018104/1183326432915
-3,9,0.0013876256189642886,,0.0013874623099186141,1641820826/1183326432915
-3,10,0.0013858569981872366,,0.001385605444442714,1639623548/1183326432915
-3,11,0.0013840208818659758,,0.0013837485789668137,327485254/236665286583
-2,-13,0.001427997115198789,,0.0014278836625306502,153604771/107575130265
-2,-12,0.0014260589447206158,,0.0014260267970547498,1687455203/1183326432915
-2,-11,0.0014241072605665861,,0.0014241699315788497,337051585/236665286583
-2,-10,0.0014222029494161278,,0.0014223130661029496,1683060647/1183326432915
-2,-9,0.0014203048351364342,,0.0014204562006270493,1680863369/1183326432915
-2,-8,0.0014183999665742968,,0.0014185993351511492,1678666091/1183326432915
-2,-7,0.0014165025489453263,,0.0014167424696752489,1676468813/1183326432915
-2,-6,0.0014146573024265735,,0.0014148856041993488,334854307/236665286583
-2,-5,0.0014127946688190654,,0.0014130287387234485,1672074257/1183326432915
-2,-4,0.0014109479704770944,,0.0014111718732475484,1669876979/1183326432915
-2,-3,0.0014090977681510178,,0.0014093150077716481,1667679701/1183326432915
-2,-2,0.0014072517388611424,,0.001407458142295748,151407493/107575130265
-2,-1,0.0014054270298009867,,0.0014056012768198477,332657029/236665286583
-2,0,0.0014036038664878214,,0.0014037444113439476,1661087867/1183326432915
